logFC	logCPM	PValue	FDR
YGL146C	3.61965873995385	5.55424021707002	3.28269738372241e-19	2.04117385635054e-17
YLR053C	-6.53125869505837	3.75992642208092	5.00929214362049e-19	3.08015808031064e-17
YNL277W	-3.14106787250753	7.03429733638365	5.79256694870361e-19	3.52264455979404e-17
YPL248C	4.27031355455194	4.67777382368294	1.03759907803359e-18	6.24138401938901e-17
YEL071W	-4.22586287829058	9.16628248070202	2.09601388107636e-18	1.24724094815877e-16
YIL121W	-3.1541672757749	9.57032620060106	4.15933386393682e-18	2.44869719181132e-16
YKL120W	-3.03464847191155	6.00505362730937	4.20370515361176e-18	2.44876887579868e-16
YBR033W	3.78453030912423	4.85980115965179	5.17880844287261e-18	2.98536728363094e-16
YPL147W	3.46094959028247	6.33461182147023	6.84259546178619e-18	3.9038065242809e-16
YNL220W	-2.93527368066821	9.60310444782762	1.03135560894172e-17	5.82400197947294e-16
YLR174W	5.73685335805647	9.08818322006264	1.207018266892e-17	6.74711019088923e-16
YIR032C	-2.92915320872484	5.76324308319576	1.56188839796797e-17	8.64349039435473e-16
YIL160C	6.38605700048867	5.84539375499618	1.89496017767655e-17	1.03828808151109e-15
YPR006C	3.37306092194598	6.46782929739189	1.99011775072016e-17	1.07973643455739e-15
YKL109W	2.91144162442918	7.93135237974225	3.91981738321957e-17	2.10371758401435e-15
YOR374W	4.47573216673409	11.8153732186025	3.95349889297962e-17	2.10371758401435e-15
YER052C	-2.73635753070735	9.18343234091733	5.58594568056482e-17	2.94405937107102e-15
YGL009C	-3.14253619583021	9.49223102186856	9.19974966541128e-17	4.80296364607415e-15
YER055C	-3.58009474726736	9.692749654766	1.1755682472338e-16	6.07999502821669e-15
YIL136W	4.42988190738016	8.99172674464532	1.34566784967413e-16	6.8953017408302e-15
YOR178C	4.64810390128895	6.8710427226169	1.51650194566326e-16	7.69937776816556e-15
YDR256C	5.68559569729843	7.40787218513657	1.77096370785081e-16	8.90955741749674e-15
YJL172W	-2.97654262367973	10.947460861246	2.31910039857589e-16	1.15620735186657e-14
YIL074C	-2.88563062238012	8.48481371770841	2.95458220682056e-16	1.45988017254866e-14
YHR029C	-2.71065890049323	7.04421550186319	3.27393559545523e-16	1.60335925533179e-14
YPL200W	10.1488926444523	3.4045487022635	3.4041728102082e-16	1.65251687120107e-14
YKL153W	-5.20919369331193	3.96389293345651	5.68189433746964e-16	2.73422637074409e-14
YFL030W	4.53971317691029	9.76532671133669	5.80799817901809e-16	2.77081568299018e-14
YOR375C	-3.67444021365128	11.3091082194539	6.27777354130974e-16	2.96933322885539e-14
YMR175W	5.22094713249295	5.3384465111288	7.53310966798395e-16	3.53290075445959e-14
YBL043W	5.66042217397723	5.8802570385978	1.13900044827652e-15	5.29683065610272e-14
YBR145W	-2.46943515808642	6.8553819938117	1.17435138534127e-15	5.41571713873216e-14
YGR110W	3.35312741589951	5.56493743799978	1.73390295713549e-15	7.93009831800645e-14
YDL079C	4.5037817949457	5.26619520379913	1.79443437509903e-15	8.13967199327707e-14
YOL064C	-2.64870067052652	7.4930991254702	2.24815748003776e-15	1.0114880889861e-13
YDL194W	2.7829498785453	6.27449318813293	2.30201737875669e-15	1.02736807855157e-13
YFL021W	-3.12122496524524	7.88955034912947	2.38317983653955e-15	1.05508137723279e-13
YDL170W	-2.80843008607746	6.29896488694486	2.59015542756141e-15	1.13761270921626e-13
YJL102W	2.47370781008106	6.16651110818321	2.78863922311741e-15	1.21514405202612e-13
YBR117C	5.47283838615253	5.7524823064549	4.32020976253552e-15	1.86781568952122e-13
YEL072W	-3.44676784488118	5.09829586457078	4.47913082171222e-15	1.92151240057019e-13
YNL270C	6.21589673015848	6.25401454935074	4.98357341592095e-15	2.12146886797743e-13
YLR377C	9.02547716009563	9.5051641692858	5.35213609600923e-15	2.2609710805584e-13
YBR046C	3.21315460034353	6.79492192001204	7.04515175226717e-15	2.95362649977625e-13
YMR088C	-2.67544409439917	9.1248220788391	8.18401072949617e-15	3.40528687045352e-13
YER054C	4.51770524895124	4.53818544330373	9.62950468942052e-15	3.97684171278009e-13
YML120C	2.68643118411783	9.51844705349288	1.54418132206489e-14	6.32999958244972e-13
YDL130W-A	2.40592346964225	6.52467682221184	1.71065851590986e-14	6.93760456849856e-13
YHL032C	2.81859396846186	8.34498026719571	1.71747709773094e-14	6.93760456849856e-13
YER067W	2.9857181680786	7.83695779833485	1.94996985615147e-14	7.81966172749439e-13
YBR050C	4.02264477723424	4.41920464100004	2.65012653787431e-14	1.0550935439278e-12
YDL171C	-2.51986501209319	9.53760796639349	2.80307404959017e-14	1.108015127888e-12
YML087C	3.20244452132213	5.83236640949821	3.30852204022967e-14	1.29853623905185e-12
YOR222W	-2.46528006622085	7.50759030775951	5.30917037034526e-14	2.06908090348526e-12
YHR208W	-3.14810010761233	9.27283422687314	5.71279905455766e-14	2.21081328447008e-12
YDL215C	3.46001222631879	9.58065028105909	8.10700171797139e-14	3.11556579911484e-12
YIL116W	-2.56542002272121	7.60643876332747	8.4935617177216e-14	3.24161176178423e-12
YIL155C	3.20177621449065	9.12700896624654	9.56409874176787e-14	3.6251864682838e-12
YDR524W-C	-7.96625811556459	2.41792617975608	1.8671302502536e-13	7.02904680605677e-12
YJR048W	3.19907151014081	7.82424333550578	2.46457549895604e-13	9.21551406163697e-12
