logFC	logCPM	PValue	FDR
YEL011W	-2.46783687926639	6.50244354062301	4.60277507590938e-30	2.47298614272645e-28
YOR153W	1.90422822552432	11.5205419973686	7.45941266300635e-30	3.96926823818049e-28
YOL147C	-1.83050048055014	6.25423960450242	1.02621271403516e-29	5.40862967568628e-28
YJL171C	-1.68464403502693	7.9545750889405	2.30169015969263e-29	1.20165597582444e-27
YGL186C	-1.59481634670505	7.93911013642462	6.12491274732197e-29	3.16778197604484e-27
YNL104C	-1.69589159002888	8.88757040886597	1.29346016570536e-28	6.62778570093839e-27
YAL044C	-1.64895543390833	8.0199653072937	2.4263889017977e-28	1.23189322775674e-26
YMR246W	1.83323611236119	9.09327005208799	2.4873383051675e-28	1.25135728916336e-26
YIR029W	-2.72456951411931	4.32488709599771	3.20603852998686e-28	1.59839794819345e-26
YHR128W	1.80880522259532	8.42118196099056	8.28125173662451e-28	4.09182563486429e-26
YMR173W-A	-2.46705133484063	6.23030271954397	1.31872137285764e-27	6.45823369680901e-26
YKL201C	-1.96594904841132	5.68470401735911	1.55679454094657e-27	7.5572815698231e-26
YHR183W	-1.67442588000255	10.9329417216887	2.6769174771847e-27	1.28817924510784e-25
YOR202W	-1.64373297105365	6.41881355166844	2.909982131014e-27	1.38826216491651e-25
YLR348C	-1.67872415139702	6.84004945049392	3.15087283429025e-27	1.49033592008224e-25
YIR027C	-4.31606538849884	3.07622751488354	5.24832283375707e-27	2.46137445440777e-25
YIR030C	-3.11991519554338	3.93373595325384	8.44933919263413e-27	3.92929773882666e-25
YNL101W	-1.38611422577961	7.63678295614682	2.57308611000104e-26	1.18662154439548e-24
YOR161C	-2.33461506774343	7.20133863597961	2.85242570066852e-26	1.30457221714872e-24
YDR127W	-1.32970196842054	8.99881695846173	3.85776560964964e-26	1.74990777736074e-24
YGL255W	1.83182882010834	7.24694734572049	1.43113145166897e-25	6.43892801100496e-24
YFL014W	-5.20218030581918	5.42770425668498	1.66007951168049e-25	7.40877420777405e-24
YOR302W	-2.67764931668708	4.28736471835359	1.94595058184035e-25	8.61511241592361e-24
YMR056C	-2.51423404452338	4.83738702424732	2.36555420231078e-25	1.03896642504666e-23
YJL079C	-2.58029835846977	7.78810910981554	2.8522673199942e-25	1.24286986998802e-23
YGR125W	-1.61404361820614	7.03491103328804	3.5626000192387e-25	1.54026785206773e-23
YGL062W	-2.01828476407372	7.60338979045916	3.79836636395523e-25	1.6294697254363e-23
YGR204W	-1.24574413754991	9.68372673684813	4.47379361519374e-25	1.90445952819094e-23
YGR177C	2.27276715759172	6.05724851400406	2.68790734282959e-24	1.13548696452053e-22
YML054C	-3.17214836840719	3.03366346817407	3.35009090201256e-24	1.40450023119223e-22
YGR211W	1.7664967780057	8.23033501277596	6.67870869104813e-24	2.77894540573386e-22
YMR173W	-2.31106580723123	6.49546434703431	2.88578018843708e-23	1.19178414647842e-21
YBR139W	-1.75449114237276	7.56425923912003	3.24268386764566e-23	1.32926018692971e-21
YDL066W	-1.42756228556438	8.89214559972961	4.02127152733933e-23	1.63630269355116e-21
YNL237W	-3.26426924609795	3.88172970478882	4.0881915548376e-23	1.65139066164024e-21
