GeneID,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor
ENSG00000265374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_028642,142,56,328,178,449,345,66,89,238,35,117,199,69,120,339,51,279,275
ENSG00000171956,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000278868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_067108,3,58,37,12,5,14,30,16,1,22,11,30,16,5,18,3,9,20
ENSG00000184508,1,43,15,13,23,11,15,2,21,13,8,5,20,11,14,1,7,12
ENSG00000203650,0,0,0,0,2,4,2,0,15,1,21,0,0,0,5,1,9,14
ENSG00000196979,0,0,0,6,0,9,3,0,0,0,0,1,0,1,0,0,0,2
XLOC_035358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_083036,0,0,23,3,26,33,1,2,13,5,62,14,2,2,47,1,84,63
ENSG00000223880,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197044,5,20,56,44,84,133,11,22,37,41,71,102,11,26,85,28,88,86
XLOC_094825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_036406,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000072832,146,153,165,267,292,221,220,67,97,211,134,224,164,233,102,122,82,228
XLOC_056590,0,5,10,15,15,16,24,2,12,8,17,37,18,7,47,7,29,52
ENSG00000270457,0,0,0,3,76,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_158728,5,5,13,0,18,21,0,0,0,0,2,3,5,1,0,0,1,1
ENSG00000255323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_096156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164542,3,40,29,16,26,55,37,6,52,52,152,194,23,26,47,39,81,186
ENSG00000121577,19,34,21,82,33,41,1,53,25,14,26,41,10,28,10,2,48,29
ENSG00000279007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XLOC_150369,69,149,414,271,447,304,308,277,287,195,782,487,170,150,248,113,608,843
XLOC_006671,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_147995,11,3,7,29,5,13,15,0,2,34,3,11,2,3,6,22,4,3
ENSG00000272662,0,8,0,0,0,1,0,0,1,4,0,0,0,0,0,15,3,0
ENSG00000254573,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000160188,195,102,241,582,148,517,74,7,168,122,190,175,0,90,97,9,67,364
XLOC_114737,0,1,4,2,0,5,0,0,3,6,0,0,2,0,3,0,13,1
ENSG00000249924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
XLOC_094715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000254361,1,0,0,11,0,3,0,0,6,2,1,0,0,3,6,0,0,0
ENSG00000164023,74,868,581,189,425,979,305,533,580,173,1002,2569,413,367,1083,161,396,1318
ENSG00000183283,804,965,1565,773,2805,2250,965,623,1219,672,2161,2334,670,748,1899,680,1926,3150
ENSG00000120029,169,179,350,336,314,516,207,210,236,182,434,469,140,253,378,212,366,346
ENSG00000233502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_083852,195,83,145,317,236,218,279,50,603,373,134,193,255,405,640,479,176,174
ENSG00000103381,74,137,93,44,99,221,28,110,82,37,116,81,9,61,178,24,48,111
ENSG00000099139,74,304,264,241,315,304,92,80,250,177,287,321,22,156,204,115,45,365
XLOC_076358,283,1031,1117,465,1018,1144,507,1042,670,407,728,1117,470,453,856,314,1186,815
ENSG00000261097,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000134262,25,36,147,119,114,202,84,109,120,66,126,174,14,103,109,43,112,183
ENSG00000130589,4,6,23,2,7,13,5,18,10,5,37,28,3,11,19,2,28,13
XLOC_062540,38,41,77,77,56,193,138,144,210,87,66,92,63,113,367,109,142,135
XLOC_000866,37,5,6,1,0,11,5,75,9,5,0,5,0,2,4,0,8,2
ENSG00000118482,2554,2308,3205,3664,3689,6357,2536,1440,3234,3167,2913,3707,1741,2847,4616,2370,3180,3934
XLOC_160837,21,42,36,101,59,114,187,35,169,100,270,67,88,74,178,35,165,59
ENSG00000082482,0,0,3,0,2,1,0,0,0,0,0,24,0,0,0,0,0,0
ENSG00000272855,0,0,0,6,0,4,0,0,0,0,0,0,0,0,3,0,0,0
XLOC_130267,0,0,0,0,0,3,1,0,1,0,1,0,0,0,1,0,0,2
